" ID","Datetime","Type","Status","Note","From","To","Amount (total)","Amount (fee)","Funding Source","Destination"
"8681996128421714631","2018-04-01T03:55:09","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"2965886230419506384","2018-04-01T04:09:57","Payment","Complete","Utilities","Sally Smith","Brian Taylor","+ $175.57","","","Venmo balance"
"117033832","2018-04-02T12:49:57","Standard Transfer","Issued","","","","- $1,932.37","","","Visa Debit *8967"
"3641977597632667950","2018-04-05T18:22:13","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $120.00","","Visa Debit *1559",""
"4354205292885612406","2018-04-17T15:43:19","Payment","Complete","Bagels","Brian Taylor","Maria Anderson","- $3.00","","Visa Debit *1559",""
"3083645406127028805","2018-05-01T14:49:07","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,423.73","","","Venmo balance"
"1326234690911981511","2018-05-19T00:08:52","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $82.50","","Venmo balance",""
"7315187729","2018-05-19T00:09:15","Standard Transfer","Issued","","","","- $1,341.23","","","Visa Debit *8967"
"9253613214533191096","2018-05-31T14:08:31","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"5735515466029837096","2018-06-24T04:17:01","Payment","Complete","Dinner reimbursement","Brian Taylor","Nick Moore","- $56.25","","Venmo balance",""
"8942930910391012512","2018-06-25T18:29:34","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $103.50","","Venmo balance",""
"5162819210","2018-06-25T18:29:43","Standard Transfer","Issued","","","","- $1,190.25","","","Visa Debit *8967"
"9387010389061301140","2018-07-02T07:41:11","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $1,350.00","","","Venmo balance"
"3096141616","2018-07-03T18:23:02","Standard Transfer","Issued","","","","- $1,350.00","","","Visa Debit *8967"
"2484767129292184690","2018-07-06T22:57:23","Payment","Complete","Utilities","Sally Smith","Brian Taylor","+ $356.64","","","Venmo balance"
"8077697173731678458","2018-07-11T18:24:00","Charge","Complete","Utilities","Maria Anderson","Brian Taylor","- $113.30","","Venmo balance",""
"0702079543408377827","2018-07-20T04:55:57","Payment","Complete","Dinner reimbursement","Brian Taylor","Nick Moore","- $74.75","","Venmo balance",""
"3873234490","2018-07-20T04:56:07","Standard Transfer","Issued","","","","- $168.59","","","Visa Debit *8967"
"5837647598184542103","2018-07-28T13:45:31","Payment","Complete","Rent","Cindy Harris","Brian Taylor","+ $600.00","","","Venmo balance"
"8017655798424524610","2018-08-02T04:02:20","Payment","Complete","Rent","Sally Smith","Brian Taylor","+ $750.00","","","Venmo balance"
"8674918934","2018-08-02T17:45:41","Standard Transfer","Issued","","","","- $1,350.00","","","Visa Debit *8967"
